T,Duration,Speedup
1,0.168622,1.0
2,0.0844686,1.99626
3,0.0565041,2.98424
4,0.0422945,3.98684
5,0.0339627,4.96492
6,0.0283951,5.93841
7,0.0242661,6.94885
8,0.021304,7.91503
9,0.0188951,8.92411
10,0.0170431,9.89381
11,0.0154548,10.9106
12,0.0141981,11.8764
13,0.013181,12.7928
14,0.0123472,13.6566
15,0.0114258,14.758
16,0.010702,15.7561
17,0.010065,16.7533
18,0.0107644,15.6648
19,0.012167,13.8589
20,0.010449,16.1376
21,0.00848842,19.8649
22,0.0078018,21.6132
23,0.00751544,22.4367
24,0.00716704,23.5274
